duration,1,2,5,10,25,50,100,200,500,1000
5-min,4.85,5.66,6.55,7.57,8.66,9.67,10.6,11.5,12.7,13.9
10-min,3.88,4.52,5.24,6.05,6.91,7.70,8.42,9.15,10.1,10.9
15-min,3.23,3.79,4.42,5.10,5.84,6.50,7.10,7.70,8.44,9.15
30-min,2.21,2.62,3.14,3.70,4.32,4.89,5.43,5.99,6.72,7.41
60-min,1.38,1.64,2.01,2.41,2.88,3.32,3.74,4.20,4.82,5.41
2-hr,0.816,0.969,1.18,1.41,1.68,1.94,2.19,2.46,2.83,3.19
3-hr,0.598,0.707,0.855,1.02,1.22,1.42,1.62,1.83,2.13,2.41
6-hr,0.395,0.464,0.552,0.653,0.781,0.903,1.03,1.17,1.36,1.55
12-hr,0.263,0.308,0.365,0.427,0.502,0.571,0.638,0.710,0.805,0.896
24-hr,0.166,0.198,0.244,0.281,0.332,0.374,0.418,0.464,0.528,0.581
2-day,0.100,0.120,0.146,0.166,0.195,0.219,0.243,0.268,0.303,0.331
3-day,0.072,0.086,0.104,0.118,0.137,0.153,0.168,0.185,0.207,0.225
4-day,0.058,0.069,0.083,0.093,0.108,0.119,0.131,0.143,0.159,0.172
7-day,0.039,0.047,0.056,0.063,0.073,0.081,0.090,0.098,0.109,0.118
10-day,0.032,0.038,0.045,0.050,0.058,0.064,0.070,0.076,0.084,0.091
20-day,0.021,0.025,0.029,0.032,0.036,0.039,0.042,0.045,0.049,0.052
30-day,0.017,0.020,0.023,0.025,0.028,0.030,0.032,0.034,0.036,0.038
45-day,0.015,0.017,0.019,0.021,0.023,0.024,0.025,0.027,0.028,0.029
60-day,0.013,0.015,0.017,0.019,0.020,0.021,0.022,0.023,0.024,0.025
