,init.walk,maxwalk,remaining walkers,duration (sec.),mean man,mean infil,Location,map_name,Cells,Min Depth (m),Max Depth (m),Seed,Resolution (m),scalar_str,Particle Scalar,Number of iterations (cells),Mean flow velocity (m/s),Time Step (s),Time at Step (s),Time at Step (min),Mean Source Rate (Rain Fall Excess) (m/s),Compute Time (s),particles,Particle Density
0,201570,50397,192047,7200,0.232658,0.0,clay-center,depth_1_025_0.010,468969,0.00038666639011353254,0.46100151538848877,0,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,101.65646028518675,50397.25,0.25
1,201570,50397,184588,7200,0.232658,0.0,clay-center,depth_1_025_0.020,468969,0.00038666639011353254,0.530256450176239,0,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,101.65646028518675,50397.25,0.25
2,201570,50397,160209,7200,0.232658,0.0,clay-center,depth_1_025_0.030,468969,0.00038666639011353254,0.5847657918930054,0,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,101.65646028518675,50397.25,0.25
3,201570,50397,137672,7200,0.232658,0.0,clay-center,depth_1_025_0.040,468969,0.00038666639011353254,0.6381057500839233,0,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,101.65646028518675,50397.25,0.25
4,201570,50397,120380,7200,0.232658,0.0,clay-center,depth_1_025_0.050,468969,0.00038666639011353254,0.6895988583564758,0,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,101.65646028518675,50397.25,0.25
5,201570,50397,103302,7200,0.232658,0.0,clay-center,depth_1_025_0.060,468969,0.00038666639011353254,0.7434152364730835,0,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,101.65646028518675,50397.25,0.25
6,201570,50397,84960,7200,0.232658,0.0,clay-center,depth_1_025_0.070,468969,0.00038666639011353254,0.7996363043785095,0,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,101.65646028518675,50397.25,0.25
7,201570,50397,63947,7200,0.232658,0.0,clay-center,depth_1_025_0.080,468969,0.00038666639011353254,0.8494923710823059,0,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,101.65646028518675,50397.25,0.25
8,201570,50397,43248,7200,0.232658,0.0,clay-center,depth_1_025_0.090,468969,0.00038666639011353254,0.8835994005203247,0,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,101.65646028518675,50397.25,0.25
9,201570,50397,25951,7200,0.232658,0.0,clay-center,depth_1_025_0.100,468969,0.00038666639011353254,0.9044307470321655,0,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,101.65646028518675,50397.25,0.25
10,201570,50397,14526,7200,0.232658,0.0,clay-center,depth_1_025_0.110,468969,0.00038666639011353254,0.915667712688446,0,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,101.65646028518675,50397.25,0.25
11,201570,50397,7705,7200,0.232658,0.0,clay-center,depth_1_025_0.120,468969,0.00038666639011353254,0.922768771648407,0,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,101.65646028518675,50397.25,0.25
0,201570,50397,191976,7200,0.232658,0.0,clay-center,depth_1_025_1.010,468969,0.00038666639011353254,0.46010956168174744,1,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.05328392982484,50397.25,0.25
1,201570,50397,184517,7200,0.232658,0.0,clay-center,depth_1_025_1.020,468969,0.00038666639011353254,0.5311281085014343,1,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.05328392982484,50397.25,0.25
