,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,Location
0,361464,129582,491046,0.00021504371979972348,1.3834750413894654,1.3832599976696658,0.011780635113202459,0.011780635113202459,0.03358368074606716,0.001127863612453762,285.0752987708634,4258.2754905586135,0.004899159586057067,0.006859281309880316,0.010190854780375957,"[{'percentile': 90, 'value': 0.016349580511450766}]",1419.930783009529,90898.0,0.363592,1,025,010,average,0.9602137850607693,SFREC
1,361464,129582,491046,0.00021504371979972348,2.767149877548218,2.7669348338284183,0.01307621494658595,0.01307621494658595,0.059275670556123254,0.0035136051198780575,453.30908675219854,4726.580959452744,0.004899159586057067,0.006859624828211963,0.010197447426617146,"[{'percentile': 90, 'value': 0.01640447126701474}]",1419.930783009529,90898.0,0.363592,1,025,020,average,0.9602137850607693,SFREC
2,361464,129582,491046,0.00021504371979972348,3.785980296134949,3.7857652524151493,0.014041143900989017,0.014041143900989017,0.07929283205972205,0.006287353216051286,564.7177510525827,5075.368039027094,0.004899159586057067,0.0068601100007072095,0.010200912039726973,"[{'percentile': 90, 'value': 0.01643035439774394}]",1419.930783009529,90898.0,0.363592,1,025,030,average,0.9602137850607693,SFREC
3,361464,129582,491046,0.00021504371979972348,4.645743036270142,4.645527992550342,0.014861828339860437,0.014861828339860437,0.09645601743251103,0.009303763298940873,649.0185139187042,5372.015919039313,0.004899159586057067,0.006860761879943311,0.010203416738659144,"[{'percentile': 90, 'value': 0.016453287191689016}]",1419.930783009529,90898.0,0.363592,1,025,040,average,0.9602137850607693,SFREC
4,361464,129582,491046,0.00021504371979972348,5.409841823577881,5.409626779858081,0.015594636490211575,0.015594636490211575,0.11181649192413048,0.012502927866219139,717.0189057905603,5636.899684297837,0.004899191204458475,0.006861094990745187,0.010205605905503035,"[{'percentile': 90, 'value': 0.01647105682641268}]",1419.930783009529,90898.0,0.363592,1,025,050,average,0.9602137850607693,SFREC
5,361464,129582,491046,0.00021504371979972348,6.107730197906494,6.107515154186694,0.016265372048312864,0.016265372048312864,0.12589950052703838,0.015850684232957737,774.0339424950159,5879.346442071361,0.004899211879819632,0.006861401605419815,0.0102076874114573,"[{'percentile': 90, 'value': 0.016483583208173513}]",1419.930783009529,90898.0,0.363592,1,025,060,average,0.9602137850607693,SFREC
6,361464,129582,491046,0.00021504371979972348,6.755867624282837,6.755652580563037,0.016889993651244436,0.016889993651244436,0.1390121882976304,0.019324388495295847,823.0446450605275,6105.124665153418,0.0048993332777172325,0.006861643120646476,0.010209054034203292,"[{'percentile': 90, 'value': 0.016495737247169018}]",1419.930783009529,90898.0,0.363592,1,025,070,average,0.9602137850607693,SFREC
7,361464,129582,491046,0.00021504371979972348,7.364816284179687,7.364601240459887,0.017477457059708018,0.017477457059708018,0.1513547182114966,0.02290825072488154,865.9996571264651,6317.471538630299,0.004899434046819806,0.006861885357648134,0.010210328362882137,"[{'percentile': 90, 'value': 0.016503301914781332}]",1419.930783009529,90898.0,0.363592,1,025,080,average,0.9602137850607693,SFREC
8,361464,129582,491046,0.00021504371979972348,7.941897916793823,7.941682873074023,0.01803459442903588,0.01803459442903588,0.16306511557629383,0.026590231917910063,904.1795545662915,6518.856640697026,0.004899438889697194,0.006862000189721584,0.010211347974836827,"[{'percentile': 90, 'value': 0.01651004459708929}]",1419.930783009529,90898.0,0.363592,1,025,090,average,0.9602137850607693,SFREC
9,361464,129582,491046,0.00021504371979972348,8.491862392425537,8.491647348705737,0.018566879948672562,0.018566879948672562,0.17424264968626926,0.030360500969691947,938.4595051401016,6711.258693766979,0.004899467667564749,0.0068623180035501715,0.010213115997612477,"[{'percentile': 90, 'value': 0.016517774667590857}]",1419.930783009529,90898.0,0.363592,1,025,100,average,0.9602137850607693,SFREC
