,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
0,SJER,1,0.25,293592,73398.0,0,37.11649632453919,293592,0.293592,0.25,0.003691117640676651,0.028
1,SJER,1,0.25,293592,73398.0,1,38.8662211894989,293592,0.293592,0.25,0.003691117640676651,0.028
2,SJER,1,0.25,293592,73398.0,2,49.71406316757202,293592,0.293592,0.25,0.003691117640676651,0.028
3,SJER,1,0.25,293592,73398.0,3,45.41389060020447,293592,0.293592,0.25,0.003691117640676651,0.028
4,SJER,1,0.25,293592,73398.0,4,42.76046061515808,293592,0.293592,0.25,0.003691117640676651,0.028
5,SJER,1,0.25,293592,73398.0,5,41.257439851760864,293592,0.293592,0.25,0.003691117640676651,0.028
6,SJER,1,0.25,293592,73398.0,6,40.75207424163818,293592,0.293592,0.25,0.003691117640676651,0.028
7,SJER,1,0.25,293592,73398.0,7,43.75265169143677,293592,0.293592,0.25,0.003691117640676651,0.028
8,SJER,1,0.25,293592,73398.0,8,43.479350566864014,293592,0.293592,0.25,0.003691117640676651,0.028
9,SJER,1,0.25,293592,73398.0,9,42.81162929534912,293592,0.293592,0.25,0.003691117640676651,0.028
10,SJER,1,0.5,293592,146796.0,0,41.94556665420532,293592,0.293592,0.5,0.0026100143138797502,0.028
11,SJER,1,0.5,293592,146796.0,1,42.78069758415222,293592,0.293592,0.5,0.0026100143138797502,0.028
12,SJER,1,0.5,293592,146796.0,2,38.69776391983032,293592,0.293592,0.5,0.0026100143138797502,0.028
13,SJER,1,0.5,293592,146796.0,3,38.84914469718933,293592,0.293592,0.5,0.0026100143138797502,0.028
14,SJER,1,0.5,293592,146796.0,4,35.96896433830261,293592,0.293592,0.5,0.0026100143138797502,0.028
15,SJER,1,0.5,293592,146796.0,5,37.70666265487671,293592,0.293592,0.5,0.0026100143138797502,0.028
16,SJER,1,0.5,293592,146796.0,6,37.232053995132446,293592,0.293592,0.5,0.0026100143138797502,0.028
17,SJER,1,0.5,293592,146796.0,7,38.85340833663941,293592,0.293592,0.5,0.0026100143138797502,0.028
18,SJER,1,0.5,293592,146796.0,8,36.25394606590271,293592,0.293592,0.5,0.0026100143138797502,0.028
19,SJER,1,0.5,293592,146796.0,9,33.85605192184448,293592,0.293592,0.5,0.0026100143138797502,0.028
20,SJER,1,1.0,293592,293592.0,0,72.08063793182373,293592,0.293592,1.0,0.0018455588203383254,0.028
21,SJER,1,1.0,293592,293592.0,1,70.73410367965698,293592,0.293592,1.0,0.0018455588203383254,0.028
22,SJER,1,1.0,293592,293592.0,2,75.68518805503845,293592,0.293592,1.0,0.0018455588203383254,0.028
23,SJER,1,1.0,293592,293592.0,3,72.67526388168335,293592,0.293592,1.0,0.0018455588203383254,0.028
24,SJER,1,1.0,293592,293592.0,4,72.63229322433472,293592,0.293592,1.0,0.0018455588203383254,0.028
25,SJER,1,1.0,293592,293592.0,5,69.01440000534058,293592,0.293592,1.0,0.0018455588203383254,0.028
26,SJER,1,1.0,293592,293592.0,6,74.8075635433197,293592,0.293592,1.0,0.0018455588203383254,0.028
27,SJER,1,1.0,293592,293592.0,7,84.75249934196472,293592,0.293592,1.0,0.0018455588203383254,0.028
28,SJER,1,1.0,293592,293592.0,8,75.16061401367188,293592,0.293592,1.0,0.0018455588203383254,0.028
29,SJER,1,1.0,293592,293592.0,9,87.3913004398346,293592,0.293592,1.0,0.0018455588203383254,0.028
30,SJER,1,2.0,293592,587184.0,0,109.88120317459106,293592,0.293592,2.0,0.0013050071569398751,0.028
31,SJER,1,2.0,293592,587184.0,1,112.61568927764893,293592,0.293592,2.0,0.0013050071569398751,0.028
32,SJER,1,2.0,293592,587184.0,2,101.56339049339294,293592,0.293592,2.0,0.0013050071569398751,0.028
33,SJER,1,2.0,293592,587184.0,3,103.2051031589508,293592,0.293592,2.0,0.0013050071569398751,0.028
34,SJER,1,2.0,293592,587184.0,4,106.31338453292848,293592,0.293592,2.0,0.0013050071569398751,0.028
35,SJER,1,2.0,293592,587184.0,5,106.8424289226532,293592,0.293592,2.0,0.0013050071569398751,0.028
36,SJER,1,2.0,293592,587184.0,6,98.05696058273315,293592,0.293592,2.0,0.0013050071569398751,0.028
37,SJER,1,2.0,293592,587184.0,7,96.8410906791687,293592,0.293592,2.0,0.0013050071569398751,0.028
38,SJER,1,2.0,293592,587184.0,8,110.12642693519592,293592,0.293592,2.0,0.0013050071569398751,0.028
39,SJER,1,2.0,293592,587184.0,9,103.34789395332336,293592,0.293592,2.0,0.0013050071569398751,0.028
40,SJER,1,4.0,293592,1174368.0,0,168.32108426094055,293592,0.293592,4.0,0.0009227794101691627,0.028
41,SJER,1,4.0,293592,1174368.0,1,174.04424238204956,293592,0.293592,4.0,0.0009227794101691627,0.028
42,SJER,1,4.0,293592,1174368.0,2,167.38732290267944,293592,0.293592,4.0,0.0009227794101691627,0.028
43,SJER,1,4.0,293592,1174368.0,3,179.3965289592743,293592,0.293592,4.0,0.0009227794101691627,0.028
44,SJER,1,4.0,293592,1174368.0,4,170.03511309623718,293592,0.293592,4.0,0.0009227794101691627,0.028
45,SJER,1,4.0,293592,1174368.0,5,164.36234307289124,293592,0.293592,4.0,0.0009227794101691627,0.028
46,SJER,1,4.0,293592,1174368.0,6,158.61427545547485,293592,0.293592,4.0,0.0009227794101691627,0.028
47,SJER,1,4.0,293592,1174368.0,7,158.94296383857727,293592,0.293592,4.0,0.0009227794101691627,0.028
48,SJER,1,4.0,293592,1174368.0,8,160.2629930973053,293592,0.293592,4.0,0.0009227794101691627,0.028
49,SJER,1,4.0,293592,1174368.0,9,165.0397503376007,293592,0.293592,4.0,0.0009227794101691627,0.028
50,SJER,3,0.25,32621,8155.25,0,1.471118688583374,293589,0.293589,0.25,0.011073409497674653,0.028
51,SJER,3,0.25,32621,8155.25,1,1.360301494598389,293589,0.293589,0.25,0.011073409497674653,0.028
52,SJER,3,0.25,32621,8155.25,2,1.377558708190918,293589,0.293589,0.25,0.011073409497674653,0.028
