,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,error,run_id,normalized_error,p_density
0,290532,410579,701111,0.0,0.4545889854431152,0.4545889854431152,0.007811844425536975,0.007811844425536975,0.017521384455825958,0.00030699891324885946,224.29254221382635,2269.5907846401083,0.002853270573541522,0.003951998986303806,0.006091566756367683,"[{'percentile': 90, 'value': 0.01124400356784463}]",542.1365721702575,381147.75,1.524591,1,025,05,average,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,0.6741236090660095,0.6741236090660095,0.009152748536674749,0.009152748536674749,0.026979234413714404,0.0007278790895501515,294.7664770381218,2659.166337857188,0.002853762567974627,0.003953628742601722,0.006127327401190996,"[{'percentile': 90, 'value': 0.011687853001058101}]",542.1365721702575,381147.75,1.524591,1,025,10,average,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,0.8271244883537292,0.8271244883537292,0.009892383742973711,0.009892383742973711,0.03201987589950521,0.0010252724526197145,323.68210465195557,2874.0540336136382,0.002854046504944563,0.003955008008051664,0.006147942831739783,"[{'percentile': 90, 'value': 0.011931903008371592}]",542.1365721702575,381147.75,1.524591,1,025,15,average,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
3,290532,410579,701111,0.0,0.880923044681549,0.880923044681549,0.010237432871850213,0.010237432871850213,0.03434729888883583,0.0011797369409590232,335.5069509982363,2974.3018471243863,0.0028540877625346183,0.0039557201322168115,0.006154609657824039,"[{'percentile': 90, 'value': 0.012018084712326526}]",542.1365721702575,381147.75,1.524591,1,025,20,average,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
4,290532,410579,701111,0.0,0.8989012956619262,0.8989012956619262,0.010348598657053017,0.010348598657053017,0.03512268827479506,0.0012336032316484264,339.39559778808734,3006.5990650309272,0.002854128531180322,0.003955961286555976,0.006156105967238546,"[{'percentile': 90, 'value': 0.012044747732579708}]",542.1365721702575,381147.75,1.524591,1,025,25,average,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
5,290532,410579,701111,0.0,0.9046224176883697,0.9046224176883697,0.010405933513895642,0.010405933513895642,0.035522853800213146,0.0012618731421113177,341.37113938674923,3023.2566756591286,0.002854128531180322,0.00395598653703928,0.006157478643581271,"[{'percentile': 90, 'value': 0.012056898698210717}]",542.1365721702575,381147.75,1.524591,1,025,30,average,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
0,290532,410579,701111,0.0,0.4543822258710861,0.4543822258710861,0.007812182943724188,0.007812182943724188,0.017521431995654563,0.00030700057917834746,224.28343168448416,2269.689135006076,0.002859396394342184,0.003947701305150986,0.006098950980231166,"[{'percentile': 90, 'value': 0.011248976923525333}]",542.1365721702575,381147.75,1.524591,1,025,05,median,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,0.6742093861103058,0.6742093861103058,0.009153308617252436,0.009153308617252436,0.026980448167278466,0.0007279445833071999,294.76170088294515,2659.329059187585,0.002859396394342184,0.003947701305150986,0.0061223735101521015,"[{'percentile': 90, 'value': 0.0116871427744627}]",542.1365721702575,381147.75,1.524591,1,025,10,median,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,0.8271295726299286,0.8271295726299286,0.009892908433520357,0.009892908433520357,0.03202128152450027,0.0010253624704713023,323.67914592236457,2874.2064730075363,0.002859396394342184,0.003947701305150986,0.006145332474261522,"[{'percentile': 90, 'value': 0.011924210470169783}]",542.1365721702575,381147.75,1.524591,1,025,15,median,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
3,290532,410579,701111,0.0,0.8813256919384003,0.8813256919384003,0.010237957381880788,0.010237957381880788,0.03434879116046955,0.0011798394541855514,335.50433821164654,2974.4542340725893,0.002859396394342184,0.003947701305150986,0.0061675007455050945,"[{'percentile': 90, 'value': 0.012026805896311998}]",542.1365721702575,381147.75,1.524591,1,025,20,median,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
