site_name,resolution,scalar,cells,particles,run_n,run_time
SJER,1,0.25,293592,73398.0,0,37.116496324539185
SJER,1,0.25,293592,73398.0,1,38.8662211894989
SJER,1,0.25,293592,73398.0,2,49.71406316757202
SJER,1,0.25,293592,73398.0,3,45.41389060020447
SJER,1,0.25,293592,73398.0,4,42.76046061515808
SJER,1,0.25,293592,73398.0,5,41.257439851760864
SJER,1,0.25,293592,73398.0,6,40.752074241638184
SJER,1,0.25,293592,73398.0,7,43.75265169143677
SJER,1,0.25,293592,73398.0,8,43.479350566864014
SJER,1,0.25,293592,73398.0,9,42.81162929534912
SJER,1,0.5,293592,146796.0,0,41.94556665420532
SJER,1,0.5,293592,146796.0,1,42.78069758415222
SJER,1,0.5,293592,146796.0,2,38.69776391983032
SJER,1,0.5,293592,146796.0,3,38.84914469718933
SJER,1,0.5,293592,146796.0,4,35.96896433830261
SJER,1,0.5,293592,146796.0,5,37.70666265487671
SJER,1,0.5,293592,146796.0,6,37.232053995132446
SJER,1,0.5,293592,146796.0,7,38.853408336639404
SJER,1,0.5,293592,146796.0,8,36.25394606590271
SJER,1,0.5,293592,146796.0,9,33.85605192184448
SJER,1,1,293592,293592,0,72.08063793182373
SJER,1,1,293592,293592,1,70.73410367965698
SJER,1,1,293592,293592,2,75.68518805503845
SJER,1,1,293592,293592,3,72.67526388168335
SJER,1,1,293592,293592,4,72.63229322433472
SJER,1,1,293592,293592,5,69.01440000534058
SJER,1,1,293592,293592,6,74.8075635433197
SJER,1,1,293592,293592,7,84.75249934196472
SJER,1,1,293592,293592,8,75.16061401367188
SJER,1,1,293592,293592,9,87.3913004398346
SJER,1,2,293592,587184,0,109.88120317459106
SJER,1,2,293592,587184,1,112.61568927764893
SJER,1,2,293592,587184,2,101.56339049339294
SJER,1,2,293592,587184,3,103.2051031589508
SJER,1,2,293592,587184,4,106.31338453292847
SJER,1,2,293592,587184,5,106.8424289226532
SJER,1,2,293592,587184,6,98.05696058273315
SJER,1,2,293592,587184,7,96.8410906791687
SJER,1,2,293592,587184,8,110.12642693519592
SJER,1,2,293592,587184,9,103.34789395332336
SJER,1,4,293592,1174368,0,168.32108426094055
