,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
0,clay-center,1,0.25,1524591,381147.75,0,551.666216135025,1524591,1.524591,0.25,0.001619769883409441,0.028
1,clay-center,1,0.25,1524591,381147.75,1,542.7411563396454,1524591,1.524591,0.25,0.001619769883409441,0.028
2,clay-center,1,0.25,1524591,381147.75,2,548.2391438484192,1524591,1.524591,0.25,0.001619769883409441,0.028
3,clay-center,1,0.25,1524591,381147.75,3,521.6466009616852,1524591,1.524591,0.25,0.001619769883409441,0.028
4,clay-center,1,0.25,1524591,381147.75,4,533.9690911769867,1524591,1.524591,0.25,0.001619769883409441,0.028
5,clay-center,1,0.25,1524591,381147.75,5,540.0517189502716,1524591,1.524591,0.25,0.001619769883409441,0.028
6,clay-center,1,0.25,1524591,381147.75,6,549.4920017719269,1524591,1.524591,0.25,0.001619769883409441,0.028
7,clay-center,1,0.25,1524591,381147.75,7,528.4951736927032,1524591,1.524591,0.25,0.001619769883409441,0.028
8,clay-center,1,0.25,1524591,381147.75,8,563.4046001434326,1524591,1.524591,0.25,0.001619769883409441,0.028
9,clay-center,1,0.25,1524591,381147.75,9,541.6600186824799,1524591,1.524591,0.25,0.001619769883409441,0.028
10,clay-center,1,0.5,1524591,762295.5,0,521.7158274650574,1524591,1.524591,0.5,0.0011453502685205591,0.028
11,clay-center,1,0.5,1524591,762295.5,1,549.4324381351471,1524591,1.524591,0.5,0.0011453502685205591,0.028
12,clay-center,1,0.5,1524591,762295.5,2,518.6475737094879,1524591,1.524591,0.5,0.0011453502685205591,0.028
13,clay-center,1,0.5,1524591,762295.5,3,540.8787171840668,1524591,1.524591,0.5,0.0011453502685205591,0.028
14,clay-center,1,0.5,1524591,762295.5,4,535.3271298408508,1524591,1.524591,0.5,0.0011453502685205591,0.028
15,clay-center,1,0.5,1524591,762295.5,5,573.855286359787,1524591,1.524591,0.5,0.0011453502685205591,0.028
16,clay-center,1,0.5,1524591,762295.5,6,548.084673166275,1524591,1.524591,0.5,0.0011453502685205591,0.028
17,clay-center,1,0.5,1524591,762295.5,7,547.1486387252808,1524591,1.524591,0.5,0.0011453502685205591,0.028
18,clay-center,1,0.5,1524591,762295.5,8,535.0402925014496,1524591,1.524591,0.5,0.0011453502685205591,0.028
19,clay-center,1,0.5,1524591,762295.5,9,524.2833044528961,1524591,1.524591,0.5,0.0011453502685205591,0.028
20,clay-center,1,1.0,1524591,1524591.0,0,1027.676364183426,1524591,1.524591,1.0,0.0008098849417047205,0.028
21,clay-center,1,1.0,1524591,1524591.0,1,1077.247816324234,1524591,1.524591,1.0,0.0008098849417047205,0.028
22,clay-center,1,1.0,1524591,1524591.0,2,1024.09960770607,1524591,1.524591,1.0,0.0008098849417047205,0.028
23,clay-center,1,1.0,1524591,1524591.0,3,1117.0007345676422,1524591,1.524591,1.0,0.0008098849417047205,0.028
24,clay-center,1,1.0,1524591,1524591.0,4,1059.5363490581512,1524591,1.524591,1.0,0.0008098849417047205,0.028
25,clay-center,1,1.0,1524591,1524591.0,5,1055.4146597385406,1524591,1.524591,1.0,0.0008098849417047205,0.028
26,clay-center,1,1.0,1524591,1524591.0,6,1029.3601396083832,1524591,1.524591,1.0,0.0008098849417047205,0.028
27,clay-center,1,1.0,1524591,1524591.0,7,1024.0953454971311,1524591,1.524591,1.0,0.0008098849417047205,0.028
28,clay-center,1,1.0,1524591,1524591.0,8,1020.7983224391936,1524591,1.524591,1.0,0.0008098849417047205,0.028
29,clay-center,1,1.0,1524591,1524591.0,9,1062.3578310012815,1524591,1.524591,1.0,0.0008098849417047205,0.028
30,clay-center,1,2.0,1524591,3049182.0,0,1597.2993774414062,1524591,1.524591,2.0,0.0005726751342602796,0.028
31,clay-center,1,2.0,1524591,3049182.0,1,1570.3623061180117,1524591,1.524591,2.0,0.0005726751342602796,0.028
32,clay-center,1,2.0,1524591,3049182.0,2,1525.605463027954,1524591,1.524591,2.0,0.0005726751342602796,0.028
33,clay-center,1,2.0,1524591,3049182.0,3,1562.1587941646576,1524591,1.524591,2.0,0.0005726751342602796,0.028
34,clay-center,1,2.0,1524591,3049182.0,4,1580.528535604477,1524591,1.524591,2.0,0.0005726751342602796,0.028
35,clay-center,1,2.0,1524591,3049182.0,5,1528.1408293247223,1524591,1.524591,2.0,0.0005726751342602796,0.028
36,clay-center,1,2.0,1524591,3049182.0,6,1621.4823639392853,1524591,1.524591,2.0,0.0005726751342602796,0.028
37,clay-center,1,2.0,1524591,3049182.0,7,1526.6770741939545,1524591,1.524591,2.0,0.0005726751342602796,0.028
38,clay-center,1,2.0,1524591,3049182.0,8,1654.8302056789398,1524591,1.524591,2.0,0.0005726751342602796,0.028
39,clay-center,1,2.0,1524591,3049182.0,9,1552.9397518634796,1524591,1.524591,2.0,0.0005726751342602796,0.028
40,clay-center,1,4.0,1524591,6098364.0,0,5253.655379533768,1524591,1.524591,4.0,0.00040494247085236023,0.028
41,clay-center,1,4.0,1524591,6098364.0,1,5030.500616312027,1524591,1.524591,4.0,0.00040494247085236023,0.028
42,clay-center,1,4.0,1524591,6098364.0,2,5461.638720035553,1524591,1.524591,4.0,0.00040494247085236023,0.028
43,clay-center,1,4.0,1524591,6098364.0,3,5198.129550933838,1524591,1.524591,4.0,0.00040494247085236023,0.028
44,clay-center,1,4.0,1524591,6098364.0,4,5017.549626350403,1524591,1.524591,4.0,0.00040494247085236023,0.028
45,clay-center,1,4.0,1524591,6098364.0,5,5191.292318344116,1524591,1.524591,4.0,0.00040494247085236023,0.028
