,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,error,run_id,normalized_error,p_density
0,1519531,81705,1601236,0.00024933844688348474,0.4196279376745224,0.4193785992276389,0.009996077247976461,0.009996077247976461,0.017577940686601602,0.00030898399878168397,175.84838782793483,15189.34925669492,0.003813615348190069,0.006141384690999984,0.009537856932729483,"[{'percentile': 90, 'value': 0.01639560693874955}]",542.1365721702575,381147.75,1.524591,1,025,05,average,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.00024933844688348474,0.5112552106380462,0.5110058721911628,0.012634318636484206,0.012634318636484206,0.02919508930138244,0.0008523532393156953,231.07767139159833,19198.238832015482,0.0038950320333242415,0.006276239268481731,0.010002835281193256,"[{'percentile': 90, 'value': 0.01896668840199709}]",542.1365721702575,381147.75,1.524591,1,025,10,average,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.00024933844688348474,0.6833688616752625,0.683119523228379,0.014870657427700478,0.014870657427700478,0.03773188882021482,0.0014236954339410517,253.73383122880188,22596.424951771136,0.003964026411995292,0.006384802469983697,0.010333683341741562,"[{'percentile': 90, 'value': 0.021259915456175803}]",542.1365721702575,381147.75,1.524591,1,025,15,average,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.00024933844688348474,0.8967832386493683,0.8965339002024848,0.016880438537316363,0.016880438537316363,0.044841534079753186,0.0020107631786256664,265.64199727764924,25650.34965104687,0.004021113715134561,0.00647630263119936,0.010604910459369421,"[{'percentile': 90, 'value': 0.02336258627474308}]",542.1365721702575,381147.75,1.524591,1,025,20,average,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,0.00024933844688348474,1.1247795939445495,1.124530255497666,0.018729056048357014,0.018729056048357014,0.051111913457505743,0.0026124276972875568,272.9017059137344,28459.381266215983,0.004067484033294022,0.006551215099170804,0.010861725080758333,"[{'percentile': 90, 'value': 0.025498970225453377}]",542.1365721702575,381147.75,1.524591,1,025,25,average,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,0.00024933844688348474,1.3368414759635925,1.336592137516709,0.02043961723733506,0.02043961723733506,0.056807788801710196,0.0032271248685397103,277.92980730551517,31058.632020264984,0.004108614847064018,0.006619233870878816,0.011084050685167313,"[{'percentile': 90, 'value': 0.027610948495566844}]",542.1365721702575,381147.75,1.524591,1,025,30,average,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,0.0,0.41974808275699615,0.41974808275699615,0.00999322529996251,0.00999322529996251,0.01757899504080958,0.00030902106664480787,175.90912356269533,15185.015633277333,0.003814193420112133,0.00613064575009048,0.009540867060422897,"[{'percentile': 90, 'value': 0.01639943290501833}]",542.1365721702575,381147.75,1.524591,1,025,05,median,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.0,0.5112566649913788,0.5112566649913788,0.012631438547900314,0.012631438547900314,0.02919620836990905,0.0008524185831791473,231.1392186977963,19193.862448129512,0.003895997302606702,0.006276487605646253,0.009999362751841545,"[{'percentile': 90, 'value': 0.018968993797898293}]",542.1365721702575,381147.75,1.524591,1,025,10,median,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.0,0.6832915842533112,0.6832915842533112,0.014867776691944678,0.014867776691944678,0.03773306610464428,0.0014237842776574552,253.79091229617376,22592.047584487387,0.003968233708292246,0.006384509615600109,0.010327626951038837,"[{'percentile': 90, 'value': 0.021260025911033154}]",542.1365721702575,381147.75,1.524591,1,025,15,median,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.0,0.8969908952713013,0.8969908952713013,0.016877539582846424,0.016877539582846424,0.04484239182195677,0.0020108401043138955,265.69270717357745,25645.94459986221,0.004019624786451459,0.006473686313256621,0.010610105469822884,"[{'percentile': 90, 'value': 0.023358996957540512}]",542.1365721702575,381147.75,1.524591,1,025,20,median,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
