site_name,resolution,scalar,cells,particles,run_n,run_time
clay-center,1,0.25,193566,48391.5,0,42.092183113098145
clay-center,1,0.25,193566,48391.5,1,40.91121006011963
clay-center,1,0.25,193566,48391.5,2,42.10043811798096
clay-center,1,0.25,193566,48391.5,3,30.65133786201477
clay-center,1,0.25,193566,48391.5,4,35.36565399169922
clay-center,1,0.25,193566,48391.5,5,43.24056315422058
clay-center,1,0.25,193566,48391.5,6,41.088523626327515
clay-center,1,0.25,193566,48391.5,7,41.21669793128967
clay-center,1,0.25,193566,48391.5,8,41.98021697998047
clay-center,1,0.25,193566,48391.5,9,40.2837028503418
clay-center,1,0.5,193566,96783.0,0,38.56344747543335
clay-center,1,0.5,193566,96783.0,1,41.060869216918945
clay-center,1,0.5,193566,96783.0,2,41.69625782966614
clay-center,1,0.5,193566,96783.0,3,40.715338945388794
clay-center,1,0.5,193566,96783.0,4,42.40889525413513
clay-center,1,0.5,193566,96783.0,5,42.450565576553345
clay-center,1,0.5,193566,96783.0,6,41.91051626205444
clay-center,1,0.5,193566,96783.0,7,42.61422252655029
clay-center,1,0.5,193566,96783.0,8,41.520814180374146
clay-center,1,0.5,193566,96783.0,9,41.1908974647522
