site_name,resolution,scalar,cells,particles,run_n,run_time
coweeta,1,0.25,833264,208316.0,0,715.4645993709564
coweeta,1,0.25,833264,208316.0,1,714.9380631446838
coweeta,1,0.25,833264,208316.0,2,705.9686331748962
coweeta,1,0.25,833264,208316.0,3,609.8425838947296
coweeta,1,0.25,833264,208316.0,4,654.8596029281616
coweeta,1,0.25,833264,208316.0,5,667.8302228450775
coweeta,1,0.25,833264,208316.0,6,681.2997784614563
coweeta,1,0.25,833264,208316.0,7,677.50657081604
coweeta,1,0.25,833264,208316.0,8,659.5707883834839
coweeta,1,0.25,833264,208316.0,9,682.2821350097656
coweeta,1,0.5,833264,416632.0,0,700.6294281482697
coweeta,1,0.5,833264,416632.0,1,732.3544607162476
coweeta,1,0.5,833264,416632.0,2,719.8062024116516
coweeta,1,0.5,833264,416632.0,3,705.9009511470795
coweeta,1,0.5,833264,416632.0,4,712.9431564807892
coweeta,1,0.5,833264,416632.0,5,716.5082969665527
coweeta,1,0.5,833264,416632.0,6,726.5324537754059
coweeta,1,0.5,833264,416632.0,7,711.5132608413696
coweeta,1,0.5,833264,416632.0,8,638.4770758152008
coweeta,1,0.5,833264,416632.0,9,726.3588335514069
coweeta,1,1,833264,833264,0,1423.243068933487
coweeta,1,1,833264,833264,1,1440.431572675705
coweeta,1,1,833264,833264,2,1439.205467224121
coweeta,1,1,833264,833264,3,1417.4162375926971
coweeta,1,1,833264,833264,4,1430.9375350475311
coweeta,1,1,833264,833264,5,1426.9950830936432
coweeta,1,1,833264,833264,6,1431.2455315589905
