site_name,resolution,scalar,cells,particles,run_n,run_time
tx069-playas,1,0.25,1365860,341465.0,0,261.8274345397949
tx069-playas,1,0.25,1365860,341465.0,1,263.066486120224
tx069-playas,1,0.25,1365860,341465.0,2,262.78170943260193
tx069-playas,1,0.25,1365860,341465.0,3,263.31042432785034
tx069-playas,1,0.25,1365860,341465.0,4,262.57776618003845
tx069-playas,1,0.25,1365860,341465.0,5,262.47396206855774
tx069-playas,1,0.25,1365860,341465.0,6,261.63090443611145
tx069-playas,1,0.25,1365860,341465.0,7,261.8719620704651
tx069-playas,1,0.25,1365860,341465.0,8,261.93083119392395
tx069-playas,1,0.25,1365860,341465.0,9,261.3532712459564
tx069-playas,1,0.5,1365860,682930.0,0,262.12294602394104
tx069-playas,1,0.5,1365860,682930.0,1,262.33455514907837
tx069-playas,1,0.5,1365860,682930.0,2,261.7410480976105
tx069-playas,1,0.5,1365860,682930.0,3,261.5778512954712
tx069-playas,1,0.5,1365860,682930.0,4,263.3205397129059
tx069-playas,1,0.5,1365860,682930.0,5,261.90293431282043
tx069-playas,1,0.5,1365860,682930.0,6,261.45590591430664
tx069-playas,1,0.5,1365860,682930.0,7,262.3949992656708
tx069-playas,1,0.5,1365860,682930.0,8,261.9745135307312
tx069-playas,1,0.5,1365860,682930.0,9,262.24546337127686
tx069-playas,1,1,1365860,1365860,0,480.56039094924927
tx069-playas,1,1,1365860,1365860,1,488.200808763504
tx069-playas,1,1,1365860,1365860,2,479.0804591178894
tx069-playas,1,1,1365860,1365860,3,478.4456913471222
tx069-playas,1,1,1365860,1365860,4,479.85177087783813
tx069-playas,1,1,1365860,1365860,5,481.4196982383728
tx069-playas,1,1,1365860,1365860,6,479.0196461677551
tx069-playas,1,1,1365860,1365860,7,478.7146472930908
tx069-playas,1,1,1365860,1365860,8,478.9384093284607
tx069-playas,1,1,1365860,1365860,9,476.27800941467285
tx069-playas,1,2,1365860,2731720,0,1386.7833018302917
tx069-playas,1,2,1365860,2731720,1,1390.0973589420319
tx069-playas,1,2,1365860,2731720,2,1396.3731286525726
tx069-playas,1,2,1365860,2731720,3,1390.0336809158325
tx069-playas,1,2,1365860,2731720,4,1388.8398175239563
tx069-playas,1,2,1365860,2731720,5,1392.2089710235596
tx069-playas,1,2,1365860,2731720,6,1385.2475321292877
tx069-playas,1,2,1365860,2731720,7,1386.1571736335754
tx069-playas,1,2,1365860,2731720,8,1392.5062143802643
tx069-playas,1,2,1365860,2731720,9,1388.5672500133514
tx069-playas,3,0.25,480542,120135.5,0,87.08619236946106
tx069-playas,3,0.25,480542,120135.5,1,87.16601324081421
tx069-playas,3,0.25,480542,120135.5,2,86.89195418357849
tx069-playas,3,0.25,480542,120135.5,3,86.46078944206238
tx069-playas,3,0.25,480542,120135.5,4,86.34627103805542
tx069-playas,3,0.25,480542,120135.5,5,86.75521850585938
tx069-playas,3,0.25,480542,120135.5,6,84.49360728263855
tx069-playas,3,0.25,480542,120135.5,7,87.22840166091919
tx069-playas,3,0.25,480542,120135.5,8,85.99552512168884
tx069-playas,3,0.25,480542,120135.5,9,87.25914788246155
tx069-playas,3,0.5,480542,240271.0,0,86.71050357818604
tx069-playas,3,0.5,480542,240271.0,1,88.01489186286926
tx069-playas,3,0.5,480542,240271.0,2,81.77221584320068
tx069-playas,3,0.5,480542,240271.0,3,82.59585428237915
tx069-playas,3,0.5,480542,240271.0,4,88.79523849487305
tx069-playas,3,0.5,480542,240271.0,5,85.23870396614075
tx069-playas,3,0.5,480542,240271.0,6,84.43941068649292
tx069-playas,3,0.5,480542,240271.0,7,81.28037810325623
tx069-playas,3,0.5,480542,240271.0,8,83.23313856124878
tx069-playas,3,0.5,480542,240271.0,9,87.87021231651306
tx069-playas,3,1,480542,480542,0,164.95098638534546
tx069-playas,3,1,480542,480542,1,170.33435463905334
tx069-playas,3,1,480542,480542,2,168.8927001953125
tx069-playas,3,1,480542,480542,3,168.72026085853577
tx069-playas,3,1,480542,480542,4,170.29699802398682
tx069-playas,3,1,480542,480542,5,169.63476729393005
tx069-playas,3,1,480542,480542,6,168.73556184768677
tx069-playas,3,1,480542,480542,7,172.3736183643341
